2023-09-30 21:20:35.422577 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Before all of this', 'Raymond Grouse')
2023-09-30 21:20:35.423576 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Don’t Blink', 'Clarence Reed')
2023-09-30 21:20:35.423576 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Discoveries', 'Clarence Reed')
2023-09-30 21:20:35.424579 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('The Warmth of The Sun on Her Skin', 'Peter Sandberg')
2023-09-30 21:20:35.424579 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Nature’s Wonders', 'Bonnie Grace')
2023-09-30 21:20:35.424579 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Brother John’s Farewell', 'Brightarm Orchestra')
2023-09-30 21:20:35.425576 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('The Beginning', 'Gavin Luke')
2023-09-30 21:20:35.425576 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Wonders', 'Gavin Luke')
2023-09-30 21:20:35.425576 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Ancestors', 'Gavin Luke')
2023-09-30 21:20:35.426835 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('We Can Conquer The World', 'Voilet Barber')
2023-09-30 21:20:35.426835 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Broad Horizons', 'Francis Wells')
2023-09-30 21:20:39.958743 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs.
2023-09-30 21:20:39.959769 [WARNING]: NoneTypes was found, usually meaning unidentified songs.
2023-09-30 21:22:02.515560 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Free As Can Be', 'Magnus Ringblom')
2023-09-30 21:22:02.516600 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('The Expedition', 'Adriel Fair')
2023-09-30 21:22:02.517131 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Butterflies', 'Peter Sandberg')
2023-09-30 21:22:02.518148 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Tumbling Part 1', 'Peter Sandberg')
2023-09-30 21:22:02.518148 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Breathing Again', 'Clarence Reed')
2023-09-30 21:22:02.519148 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Blue Brook', 'Clarence Reed')
2023-09-30 21:22:02.519148 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('The long way back', 'Peter Sandberg')
2023-09-30 21:22:02.520148 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Never say no', 'Clarence Reed')
2023-09-30 21:22:02.521152 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Tumbling Part 2', 'Peter Sandberg')
2023-09-30 21:22:02.521152 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Jane', 'Peter Sandberg')
2023-09-30 21:22:02.522164 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Spring Morning', 'Peter Sandberg')
2023-09-30 21:22:02.523191 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('She is Everywhere', 'Clarence Reed')
2023-09-30 21:22:02.523191 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Up up way', 'Clarence Reed')
2023-09-30 21:22:02.524151 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Boost', 'Dream Cave')
2023-09-30 21:22:02.524151 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Lovely Ingenue', 'Leimoti ')
2023-09-30 21:22:02.525159 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Lightdrops', 'Peter Sandberg')
2023-09-30 21:22:02.525159 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('A New Horizon', 'Howard Harper-Barnes')
2023-09-30 21:22:02.526703 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Life in Peace', 'David Celeste')
2023-09-30 21:22:02.526761 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Cranberry', 'Peter Sandberg')
2023-09-30 21:22:02.526761 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Synesthesia', 'Clarence Reed')
2023-09-30 21:22:02.527781 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Before all of this', 'Raymond Grouse')
2023-09-30 21:22:02.527781 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Don’t Blink', 'Clarence Reed')
2023-09-30 21:22:02.528776 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Discoveries', 'Clarence Reed')
2023-09-30 21:22:02.529765 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('The Warmth of The Sun on Her Skin', 'Peter Sandberg')
2023-09-30 21:22:02.529765 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Nature’s Wonders', 'Bonnie Grace')
2023-09-30 21:22:02.530762 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Brother John’s Farewell', 'Brightarm Orchestra')
